index,Adresse Mac
0,28:16:51:2a:09:00:00:4a
1,28:07:c6:2c:09:00:00:c9
2,28:43:29:2c:09:00:00:d5
3,28:1f:3d:2c:09:00:00:e5
4,28:70:85:2c:09:00:00:73
5,28:9e:ad:2b:09:00:00:09
6,28:aa:46:2d:09:00:00:9b
7,28:61:60:2d:09:00:00:98
8,28:d3:a9:2a:09:00:00:a6
9,28:de:3f:2d:09:00:00:41
10,28:73:a7:2d:09:00:00:de
11,28:80:33:2a:09:00:00:db
