index,Adresse Mac,position
0,28:f1:1e:2a:09:00:00:60,32
1,28:ff:70:2b:09:00:00:4f,31
2,28:65:10:2a:09:00:00:af,30
3,28:00:62:2b:09:00:00:e6,29
4,28:ba:92:2d:09:00:00:81,28
5,28:11:ef:2b:09:00:00:ad,27
6,28:3a:59:2c:09:00:00:b6,26
7,28:18:28:2a:09:00:00:c7,25
8,28:cf:18:2c:09:00:00:0b,24
9,28:a4:56:2d:09:00:00:f4,23
10,28:6c:af:2b:09:00:00:96,22
11,28:b0:4e:2c:09:00:00:be,21
