index,Adresse Mac,position
0,28:7b:7e:2b:09:00:00:db,32
1,28:1c:59:2b:09:00:00:34,30
2,28:4f:8b:2b:09:00:00:9e,28
3,28:3a:f1:29:09:00:00:3a,26
4,28:dd:2a:2d:09:00:00:b6,24
5,28:87:8f:2c:09:00:00:39,22
6,28:4e:6e:2b:09:00:00:a1,20
7,28:d9:81:2b:09:00:00:20,18
8,28:ab:71:2a:09:00:00:ff,16
9,28:c6:36:2a:09:00:00:ce,14
10,28:71:0c:2a:09:00:00:75,12
11,28:54:d1:2c:09:00:00:93,10
