index,Adresse Mac,position
0,28:f9:34:2b:09:00:00:0b,32
1,28:c7:0f:2c:09:00:00:87,31
2,28:09:24:2b:09:00:00:05,30
3,28:0c:76:2c:09:00:00:7e,29
4,28:7d:d0:2c:09:00:00:7e,28
5,28:77:5f:2d:09:00:00:9a,27
6,28:a9:b3:2b:09:00:00:bf,26
7,28:09:5c:2c:09:00:00:d0,25
8,28:b2:a8:2c:09:00:00:96,24
9,28:38:83:2d:09:00:00:b4,23
10,28:24:d5:2b:09:00:00:92,22
11,28:a3:a3:2c:09:00:00:8a,21
