index,Adresse Mac,position
0,28:25:77:2a:09:00:00:9a,22
1,28:6d:97:2a:09:00:00:94,21
2,28:fd:77:2d:09:00:00:79,20
3,28:61:99:2b:09:00:00:c4,19
4,28:eb:8b:2b:09:00:00:1e,18
5,28:ae:c1:2c:09:00:00:52,17
6,28:87:05:2c:09:00:00:4f,16
7,28:cc:97:2a:09:00:00:ff,15
8,28:52:d2:2c:09:00:00:6f,14
9,28:d8:7b:2d:09:00:00:05,13
10,28:3c:be:2b:09:00:00:09,12
11,28:79:b5:2b:09:00:00:e7,11
