index,Adresse Mac,position
0,28:e4:f3:29:09:00:00:6e,32
1,28:59:ad:2b:09:00:00:13,30
2,28:09:8d:2c:09:00:00:43,28
3,28:00:6d:2c:09:00:00:0f,26
4,28:f2:ab:2a:09:00:00:a4,24
5,28:96:4d:2c:09:00:00:f4,22
6,28:a6:3e:2a:09:00:00:33,20
7,28:ec:73:2b:09:00:00:03,18
8,28:ae:61:2a:09:00:00:68,16
9,28:b4:28:2c:09:00:00:ef,14
10,28:43:c2:29:09:00:00:fe,12
11,28:83:70:2b:09:00:00:aa,10
