index,Adresse Mac,position
0,28:38:97:2d:09:00:00:d7,22
1,28:85:6c:2d:09:00:00:4c,21
2,28:4e:16:2d:09:00:00:fb,20
3,28:66:3d:2d:09:00:00:64,19
4,28:9b:72:2a:09:00:00:5c,18
5,28:40:5f:2d:09:00:00:f2,17
6,28:49:80:2d:09:00:00:55,16
7,28:57:42:2b:09:00:00:b5,15
8,28:53:a8:2d:09:00:00:07,14
9,28:22:cb:2c:09:00:00:78,13
10,28:43:bd:2c:09:00:00:7d,12
11,28:84:50:2c:09:00:00:51,11
